feature,importance
time_sin,0.04443247083193576
time_cos,0.042132150830478186
Flow Duration,0.03519151088821005
Flow Pkts/s,0.03500993516787046
Fwd Pkts/s,0.03499958991181988
Flow IAT Mean,0.02761325353172547
Flow IAT Max,0.027328831963481258
Flow IAT Min,0.025472606638346985
Fwd IAT Min,0.02500085461739524
Fwd IAT Mean,0.024766021514224988
Fwd IAT Tot,0.024277928413318158
Fwd IAT Max,0.022545589507865327
Dst Port,0.021243416283439957
Bwd Pkts/s,0.02038213090840779
Flow IAT Std,0.019705661413013532
Fwd IAT Std,0.01885621647005904
Init Fwd Win Byts,0.01797428817856989
Flow Byts/s,0.016502843256577283
Idle Mean,0.015612806405278205
Init Bwd Win Byts,0.014923862996723547
Idle Min,0.014792899013328465
Pkt Len Std,0.014413518255763091
Pkt Len Mean,0.014393803196686188
Bwd IAT Mean,0.014122007259072531
Tot Fwd Pkts,0.01411949055864696
Idle Max,0.013982628057322598
Pkt Len Var,0.013927170581459768
Active Mean,0.013568879543228378
Bwd IAT Tot,0.013459778375692046
Bwd IAT Max,0.013419384714003642
Pkt Size Avg,0.01325667572699485
Subflow Fwd Pkts,0.013222448113064042
Bwd Seg Size Avg,0.01315191482537174
Fwd Pkt Len Std,0.013128206008183827
Bwd IAT Std,0.012925026813669997
Active Min,0.012790348216990228
Idle Std,0.012443683410671933
Bwd IAT Min,0.012421611625778858
Fwd Seg Size Avg,0.01237494170942236
TotLen Bwd Pkts,0.012299170156570031
Bwd Pkt Len Mean,0.012275018829700425
Subflow Bwd Byts,0.012219086381850756
Fwd Pkt Len Max,0.012113838232822005
TotLen Fwd Pkts,0.012110451008836216
Fwd Pkt Len Mean,0.011870704719940412
Bwd Pkt Len Std,0.01185015203451404
Subflow Fwd Byts,0.01153154334078597
Bwd Header Len,0.010990856723242275
Active Max,0.010907776325856931
Fwd Header Len,0.010726256427266302
Subflow Bwd Pkts,0.01067098155850943
Tot Bwd Pkts,0.010399026390847263
Bwd Pkt Len Max,0.009776137923792696
Pkt Len Max,0.009765903738091754
Fwd Act Data Pkts,0.009711485860368302
Active Std,0.0095129858394056
Down/Up Ratio,0.007921103426042811
Pkt Len Min,0.004715430083028278
ACK Flag Cnt,0.0030841142580837278
Fwd PSH Flags,0.0030601283169911686
Fwd Pkt Len Min,0.0030078189204842815
ECE Flag Cnt,0.002780841106216577
RST Flag Cnt,0.0027144050380249135
Bwd Pkt Len Min,0.002702758301651795
Fwd Seg Size Min,0.002619777527950917
PSH Flag Cnt,0.002341547508359774
SYN Flag Cnt,0.002151859207860155
Protocol,0.0019451706698536695
URG Flag Cnt,0.0015687116753761812
FIN Flag Cnt,0.000768572733582791
Bwd Pkts/b Avg,0.0
CWE Flag Count,0.0
Fwd Blk Rate Avg,0.0
Bwd URG Flags,0.0
Fwd URG Flags,0.0
Bwd PSH Flags,0.0
Fwd Pkts/b Avg,0.0
Fwd Byts/b Avg,0.0
Bwd Blk Rate Avg,0.0
Bwd Byts/b Avg,0.0
